cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Oropharynx",138,1,27,2,0,760,3,6,.08,.607,"Syrian Arab Republic",13,"Western Asia"
"Vulva",138,1,28,2,0,807,21,8,.33,.688,"North Macedonia",16,"Southern Europe"
"Salivary glands",138,0,29,2,0,646,2,12,.25,.366,"Rwanda",1,"Eastern Africa"
"Stomach",138,1,30,2,0,548,7,3,3.15,.574,"Vanuatu",19,"Melanesia"
"Bladder",139,0,1,2,0,120,30,65,1.02,.458,"Cameroon",2,"Middle Africa"
"Brain, CNS",139,2,2,2,0,52,31,4,1.22,.774,"Barbados",6,"Caribbean"
"Breast",139,1,3,2,0,364,20,15492,30.45,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Colorectum",139,0,4,2,0,450,8,526,6.07,.464,"Madagascar",1,"Eastern Africa"
"Pancreas",139,0,5,2,0,524,13,214,1.49,.464,"Nepal",12,"South Central Asia"
"Kidney",139,1,6,2,0,764,29,669,1.09,.669,"Thailand",11,"South-Eastern Asia"
"Lung",139,1,7,2,0,320,15,252,3.18,.563,"Guatemala",7,"Central America"
"NHL",139,0,8,2,0,626,34,15,2.87,.503,"Timor-Leste",11,"South-Eastern Asia"
"Corpus uteri",139,1,9,2,0,364,24,1434,3.06,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Thyroid",139,1,10,2,0,807,32,40,2.11,.688,"North Macedonia",16,"Southern Europe"
"Leukaemia",139,0,11,2,0,140,36,42,2.55,.328,"Central African Republic",2,"Middle Africa"
"Ovary",139,0,12,2,0,728,25,163,4.44,.41,"South Sudan",1,"Eastern Africa"
"Hodgkin lymphoma",139,0,13,2,0,524,33,63,.38,.464,"Nepal",12,"South Central Asia"
"Multiple myeloma",139,0,14,2,0,120,35,46,.66,.458,"Cameroon",2,"Middle Africa"
"Melanoma of skin",139,1,15,2,0,368,16,61,.44,.603,"Iraq",13,"Western Asia"
"Mesothelioma",139,1,16,2,0,266,18,0,0,.626,"Gabon",2,"Middle Africa"
"Cervix uteri",139,3,17,2,0,203,23,658,8.01,.821,"Czechia",14,"Eastern Europe"
"Liver",139,3,18,2,0,554,11,144,2.58,.888,"New Zealand",18,"Australia/New Zealand"
"Nasopharynx",139,1,19,2,0,222,4,4,.08,.627,"El Salvador",7,"Central America"
"Kaposi sarcoma",139,2,20,2,0,258,19,0,0,.791,"French Polynesia",21,"Polynesia"
"Oesophagus",139,2,21,2,0,258,6,1,.56,.791,"French Polynesia",21,"Polynesia"
"Vagina",139,1,22,2,0,320,22,15,.19,.563,"Guatemala",7,"Central America"
"Gallbladder",139,3,23,2,0,578,12,28,.4,.917,"Norway",15,"Northern Europe"
"Larynx",139,0,24,2,0,686,14,10,.18,.41,"Senegal",5,"Western Africa"
"Hypopharynx",139,0,25,2,0,90,5,0,0,.486,"Solomon Islands",19,"Melanesia"
"Lip, oral cavity",139,0,26,2,0,450,1,89,.96,.464,"Madagascar",1,"Eastern Africa"
"Oropharynx",139,0,27,2,0,180,3,18,.07,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Vulva",139,1,28,2,0,132,21,1,.32,.583,"Cape Verde",5,"Western Africa"
"Salivary glands",139,1,29,2,0,72,2,3,.24,.579,"Botswana",4,"Southern Africa"
"Stomach",139,0,30,2,0,178,7,54,3.12,.471,"Congo, Republic of",2,"Middle Africa"
"Bladder",140,0,1,2,0,140,30,13,1,.328,"Central African Republic",2,"Middle Africa"
"Brain, CNS",140,1,2,2,0,710,31,369,1.21,.619,"South Africa",4,"Southern Africa"
"Breast",140,0,3,2,0,450,20,2875,30.32,.464,"Madagascar",1,"Eastern Africa"
"Colorectum",140,1,4,2,0,320,8,478,5.89,.563,"Guatemala",7,"Central America"
"Pancreas",140,0,5,2,0,108,13,42,1.48,.311,"Burundi",1,"Eastern Africa"
"Kidney",140,0,6,2,0,180,29,429,1.05,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Lung",140,0,7,2,0,356,15,22778,3.18,.506,"India",12,"South Central Asia"
"NHL",140,0,8,2,0,104,34,901,2.82,.432,"Myanmar",11,"South-Eastern Asia"
"Corpus uteri",140,0,9,2,0,466,24,149,3.03,.334,"Mali",5,"Western Africa"
"Thyroid",140,0,10,2,0,516,32,22,1.95,.541,"Namibia",4,"Southern Africa"
"Leukaemia",140,0,11,2,0,626,36,16,2.51,.503,"Timor-Leste",11,"South-Eastern Asia"
"Ovary",140,0,12,2,0,686,25,269,4.43,.41,"Senegal",5,"Western Africa"
"Hodgkin lymphoma",140,0,13,2,0,180,33,123,.37,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Multiple myeloma",140,0,14,2,0,646,35,29,.66,.366,"Rwanda",1,"Eastern Africa"
"Melanoma of skin",140,0,15,2,0,4,16,43,.41,.384,"Afghanistan",12,"South Central Asia"
"Mesothelioma",140,0,16,2,0,270,18,0,0,.415,"The Republic of the Gambia",5,"Western Africa"
"Cervix uteri",140,2,17,2,0,434,23,278,8,.79,"Libya",3,"Northern Africa"
"Liver",140,2,18,2,0,620,11,470,2.58,.799,"Portugal",16,"Southern Europe"
"Nasopharynx",140,0,19,2,0,24,4,8,.07,.426,"Angola",2,"Middle Africa"
"Kaposi sarcoma",140,0,20,2,0,262,19,0,0,.375,"Djibouti",1,"Eastern Africa"
"Oesophagus",140,3,21,2,0,470,6,5,.56,.804,"Malta",16,"Southern Europe"
"Vagina",140,3,22,2,0,392,22,378,.19,.864,"Japan",10,"Eastern Asia"
"Gallbladder",140,0,23,2,0,204,12,20,.39,.438,"Benin",5,"Western Africa"
"Larynx",140,0,24,2,0,716,14,8,.18,.423,"Zimbabwe",1,"Eastern Africa"
"Hypopharynx",140,3,25,2,0,96,5,0,0,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Lip, oral cavity",140,1,26,2,0,31,1,63,.94,.651,"Azerbaijan",13,"Western Asia"
"Oropharynx",140,0,27,2,0,324,3,3,.07,.356,"Guinea",5,"Western Africa"
"Vulva",140,1,28,2,0,160,21,4117,.32,.606,"China",10,"Eastern Asia"
"Salivary glands",140,3,29,2,0,634,2,2,.24,.822,"Qatar",13,"Western Asia"
"Stomach",140,3,30,2,0,246,7,245,3.11,.874,"Finland",15,"Northern Europe"
"Bladder",141,1,1,2,0,340,30,43,.98,.575,"Honduras",7,"Central America"
"Brain, CNS",141,0,2,2,0,232,31,17,1.2,.427,"Eritrea",1,"Eastern Africa"
"Breast",141,0,3,2,0,686,20,1838,29.89,.41,"Senegal",5,"Western Africa"
"Colorectum",141,0,4,2,0,108,8,175,5.83,.311,"Burundi",1,"Eastern Africa"
"Pancreas",141,0,5,2,0,430,13,22,1.44,.437,"Liberia",5,"Western Africa"
"Kidney",141,0,6,2,0,646,29,74,1.05,.366,"Rwanda",1,"Eastern Africa"
"Lung",141,0,7,2,0,90,15,7,3.15,.486,"Solomon Islands",19,"Melanesia"
"NHL",141,1,8,2,0,364,34,1286,2.81,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Corpus uteri",141,0,9,2,0,566,24,1627,3.03,.45,"Nigeria",5,"Western Africa"
"Thyroid",141,1,10,2,0,795,32,62,1.94,.666,"Turkmenistan",12,"South Central Asia"
"Leukaemia",141,0,11,2,0,90,36,8,2.47,.486,"Solomon Islands",19,"Melanesia"
"Ovary",141,2,12,2,0,188,25,150,4.3,.728,"Costa Rica",7,"Central America"
"Hodgkin lymphoma",141,1,13,2,0,408,33,63,.37,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Multiple myeloma",141,2,14,2,0,398,35,82,.64,.714,"Kazakhstan",12,"South Central Asia"
"Melanoma of skin",141,1,15,2,0,214,16,26,.41,.668,"Dominican Republic",6,"Caribbean"
"Mesothelioma",141,0,16,2,0,288,18,0,0,.499,"Ghana",5,"Western Africa"
"Cervix uteri",141,1,17,2,0,12,23,1799,7.96,.657,"Algeria",3,"Northern Africa"
"Liver",141,3,18,2,0,528,11,641,2.57,.885,"The Netherlands",17,"Western Europe"
"Nasopharynx",141,2,19,2,0,484,4,54,.07,.718,"Mexico",7,"Central America"
"Kaposi sarcoma",141,3,20,2,0,312,19,0,0,.842,"France, Guadeloupe",6,"Caribbean"
"Oesophagus",141,2,21,2,0,100,6,42,.55,.736,"Bulgaria",14,"Eastern Europe"
"Vagina",141,1,22,2,0,788,22,16,.19,.664,"Tunisia",3,"Northern Africa"
"Gallbladder",141,1,23,2,0,498,12,18,.39,.663,"Moldova",14,"Eastern Europe"
"Larynx",141,0,24,2,0,140,14,2,.17,.328,"Central African Republic",2,"Middle Africa"
"Hypopharynx",141,1,25,2,0,132,5,0,0,.583,"Cape Verde",5,"Western Africa"
"Lip, oral cavity",141,1,26,2,0,320,1,84,.94,.563,"Guatemala",7,"Central America"
"Oropharynx",141,2,27,2,0,682,3,8,.07,.748,"Saudi Arabia",13,"Western Asia"
"Vulva",141,2,28,2,0,400,21,12,.32,.715,"Jordan",13,"Western Asia"
"Salivary glands",141,1,29,2,0,12,2,55,.23,.657,"Algeria",3,"Northern Africa"
"Stomach",141,2,30,2,0,48,7,16,3.03,.795,"Bahrain",13,"Western Asia"
"Bladder",142,0,1,2,0,566,30,424,.97,.45,"Nigeria",5,"Western Africa"
"Brain, CNS",142,0,2,2,0,450,31,137,1.19,.464,"Madagascar",1,"Eastern Africa"
"Breast",142,1,3,2,0,548,20,37,29.6,.574,"Vanuatu",19,"Melanesia"
"Colorectum",142,0,4,2,0,800,8,607,5.82,.427,"Uganda",1,"Eastern Africa"
"Pancreas",142,0,5,2,0,562,13,89,1.44,.273,"Niger",5,"Western Africa"
"Kidney",142,0,6,2,0,686,29,81,1.05,.41,"Senegal",5,"Western Africa"
"Lung",142,2,7,2,0,144,15,563,3.13,.703,"Sri Lanka",12,"South Central Asia"
"NHL",142,1,8,2,0,462,34,5,2.81,.63,"Maldives",12,"South Central Asia"
"Corpus uteri",142,0,9,2,0,332,24,145,3.01,.446,"Haiti",6,"Caribbean"
"Thyroid",142,0,10,2,0,454,32,106,1.93,.357,"Malawi",1,"Eastern Africa"
"Leukaemia",142,0,11,2,0,450,36,296,2.47,.464,"Madagascar",1,"Eastern Africa"
"Ovary",142,1,12,2,0,222,25,182,4.29,.627,"El Salvador",7,"Central America"
"Hodgkin lymphoma",142,1,13,2,0,496,33,6,.36,.608,"Mongolia",10,"Eastern Asia"
"Multiple myeloma",142,0,14,2,0,894,35,34,.62,.441,"Zambia",1,"Eastern Africa"
"Melanoma of skin",142,0,15,2,0,418,16,13,.39,.486,"Lao People's Democratic Republic",11,"South-Eastern Asia"
"Mesothelioma",142,3,16,2,0,312,18,0,0,.842,"France, Guadeloupe",6,"Caribbean"
"Cervix uteri",142,3,17,2,0,826,23,3235,7.51,.881,"United Kingdom",15,"Northern Europe"
"Liver",142,3,18,2,0,246,11,226,2.55,.874,"Finland",15,"Northern Europe"
"Nasopharynx",142,1,19,2,0,112,4,7,.06,.699,"Belarus",14,"Eastern Europe"
"Kaposi sarcoma",142,3,20,2,0,316,19,0,0,.844,"Guam",20,"Micronesia"
"Oesophagus",142,1,21,2,0,760,6,47,.55,.607,"Syrian Arab Republic",13,"Western Asia"
"Vagina",142,0,22,2,0,4,22,20,.18,.384,"Afghanistan",12,"South Central Asia"
"Gallbladder",142,3,23,2,0,250,12,389,.38,.852,"France (metropolitan)",17,"Western Europe"
"Larynx",142,1,24,2,0,160,14,2292,.17,.606,"China",10,"Eastern Asia"
"Hypopharynx",142,0,25,2,0,140,5,0,0,.328,"Central African Republic",2,"Middle Africa"
"Lip, oral cavity",142,0,26,2,0,426,1,9,.94,.446,"Lesotho",4,"Southern Africa"
"Oropharynx",142,1,27,2,0,788,3,6,.07,.664,"Tunisia",3,"Northern Africa"
"Vulva",142,1,28,2,0,31,21,18,.3,.651,"Azerbaijan",13,"Western Asia"
"Salivary glands",142,3,29,2,0,300,2,47,.23,.826,"Greece",16,"Southern Europe"
"Stomach",142,3,30,2,0,124,7,1394,3,.877,"Canada",9,"Northern America"
"Bladder",143,2,1,2,0,591,30,31,.97,.744,"Panama",7,"Central America"
"Brain, CNS",143,0,2,2,0,231,31,526,1.18,.315,"Ethiopia",1,"Eastern Africa"
"Breast",143,0,3,2,0,562,20,2145,29.46,.273,"Niger",5,"Western Africa"
"Colorectum",143,0,4,2,0,686,8,321,5.8,.41,"Senegal",5,"Western Africa"
"Pancreas",143,0,5,2,0,686,13,72,1.37,.41,"Senegal",5,"Western Africa"
"Kidney",143,0,6,2,0,748,29,5,1.03,.442,"Eswatini",4,"Southern Africa"
"Lung",143,0,7,2,0,706,15,126,3.13,.285,"Somalia",1,"Eastern Africa"
"NHL",143,0,8,2,0,728,34,114,2.8,.41,"South Sudan",1,"Eastern Africa"
"Corpus uteri",143,0,9,2,0,120,24,203,2.94,.458,"Cameroon",2,"Middle Africa"
"Thyroid",143,0,10,2,0,524,32,316,1.92,.464,"Nepal",12,"South Central Asia"
"Leukaemia",143,0,11,2,0,716,36,143,2.42,.423,"Zimbabwe",1,"Eastern Africa"
"Ovary",143,0,12,2,0,384,25,339,4.29,.426,"Côte d'Ivoire",5,"Western Africa"
"Hodgkin lymphoma",143,0,13,2,0,598,33,18,.36,.462,"Papua New Guinea",19,"Melanesia"
"Multiple myeloma",143,1,14,2,0,51,35,16,.59,.682,"Armenia",13,"Western Asia"
"Melanoma of skin",143,3,15,2,0,702,16,19,.39,.833,"Singapore",11,"South-Eastern Asia"
"Mesothelioma",143,3,16,2,0,316,18,0,0,.844,"Guam",20,"Micronesia"
"Cervix uteri",143,3,17,2,0,474,23,29,7.5,.859,"France, Martinique",6,"Caribbean"
"Liver",143,3,18,2,0,203,11,397,2.51,.821,"Czechia",14,"Eastern Europe"
"Nasopharynx",143,1,19,2,0,320,4,5,.06,.563,"Guatemala",7,"Central America"
"Kaposi sarcoma",143,1,20,2,0,320,19,0,0,.563,"Guatemala",7,"Central America"
"Oesophagus",143,3,21,2,0,540,6,1,.54,.852,"New Caledonia",19,"Melanesia"
"Vagina",143,1,22,2,0,222,22,10,.17,.627,"El Salvador",7,"Central America"
"Gallbladder",143,3,23,2,0,470,12,3,.37,.804,"Malta",16,"Southern Europe"
"Larynx",143,1,24,2,0,360,14,273,.17,.615,"Indonesia",11,"South-Eastern Asia"
"Hypopharynx",143,0,25,2,0,174,5,0,0,.475,"Comoros",1,"Eastern Africa"
"Lip, oral cavity",143,1,26,2,0,807,1,22,.94,.688,"North Macedonia",16,"Southern Europe"
"Oropharynx",143,1,27,2,0,807,3,2,.07,.688,"North Macedonia",16,"Southern Europe"
"Vulva",143,2,28,2,0,499,21,2,.3,.773,"Montenegro",16,"Southern Europe"
"Salivary glands",143,0,29,2,0,4,2,26,.22,.384,"Afghanistan",12,"South Central Asia"
"Stomach",143,0,30,2,0,356,7,21551,3,.506,"India",12,"South Central Asia"
"Bladder",144,0,1,2,0,524,30,138,.95,.464,"Nepal",12,"South Central Asia"
"Brain, CNS",144,3,2,2,0,474,31,5,1.17,.859,"France, Martinique",6,"Caribbean"
"Breast",144,0,3,2,0,4,20,3545,29.44,.384,"Afghanistan",12,"South Central Asia"
"Colorectum",144,0,4,2,0,120,8,434,5.76,.458,"Cameroon",2,"Middle Africa"
"Pancreas",144,0,5,2,0,180,13,324,1.34,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Kidney",144,0,6,2,0,288,29,128,1.01,.499,"Ghana",5,"Western Africa"
"Lung",144,0,7,2,0,108,15,85,2.84,.311,"Burundi",1,"Eastern Africa"
"NHL",144,0,8,2,0,180,34,861,2.67,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Corpus uteri",144,1,9,2,0,222,24,124,2.91,.627,"El Salvador",7,"Central America"
"Thyroid",144,1,10,2,0,496,32,34,1.85,.608,"Mongolia",10,"Eastern Asia"
"Leukaemia",144,3,11,2,0,316,36,2,2.35,.844,"Guam",20,"Micronesia"
"Ovary",144,1,12,2,0,275,25,74,4.22,.651,"Gaza Strip and West Bank",13,"Western Asia"
"Hodgkin lymphoma",144,0,13,2,0,116,33,29,.34,.457,"Cambodia",11,"South-Eastern Asia"
"Multiple myeloma",144,0,14,2,0,4,35,57,.57,.384,"Afghanistan",12,"South Central Asia"
"Melanoma of skin",144,2,15,2,0,434,16,13,.38,.79,"Libya",3,"Northern Africa"
"Mesothelioma",144,1,16,2,0,320,18,0,0,.563,"Guatemala",7,"Central America"
"Cervix uteri",144,3,17,2,0,372,23,242,7.47,.881,"Ireland",15,"Northern Europe"
"Liver",144,3,18,2,0,56,11,429,2.5,.886,"Belgium",17,"Western Europe"
"Nasopharynx",144,0,19,2,0,562,4,9,.06,.273,"Niger",5,"Western Africa"
"Kaposi sarcoma",144,1,20,2,0,328,19,0,0,.622,"Guyana",8,"South America"
"Oesophagus",144,1,21,2,0,275,6,9,.52,.651,"Gaza Strip and West Bank",13,"Western Asia"
"Vagina",144,3,22,2,0,410,22,95,.17,.837,"Korea, Republic of",10,"Eastern Asia"
"Gallbladder",144,2,23,2,0,144,12,66,.36,.703,"Sri Lanka",12,"South Central Asia"
"Larynx",144,2,24,2,0,682,14,19,.17,.748,"Saudi Arabia",13,"Western Asia"
"Hypopharynx",144,0,25,2,0,178,5,0,0,.471,"Congo, Republic of",2,"Middle Africa"
"Lip, oral cavity",144,0,26,2,0,624,1,5,.92,.403,"Guinea-Bissau",5,"Western Africa"
"Oropharynx",144,1,27,2,0,408,3,13,.05,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Vulva",144,0,28,2,0,586,21,252,.3,.462,"Pakistan",12,"South Central Asia"
"Salivary glands",144,3,29,2,0,474,2,1,.22,.859,"France, Martinique",6,"Caribbean"
"Stomach",144,0,30,2,0,586,7,2530,3,.462,"Pakistan",12,"South Central Asia"
"Bladder",145,1,1,2,0,417,30,28,.9,.63,"Kyrgyzstan",12,"South Central Asia"
"Brain, CNS",145,3,2,2,0,540,31,2,1.12,.852,"New Caledonia",19,"Melanesia"
"Breast",145,0,3,2,0,24,20,2898,29.43,.426,"Angola",2,"Middle Africa"
"Colorectum",145,0,4,2,0,90,8,13,5.74,.486,"Solomon Islands",19,"Melanesia"
"Pancreas",145,0,5,2,0,231,13,472,1.3,.315,"Ethiopia",1,"Eastern Africa"
"Kidney",145,0,6,2,0,140,29,18,1,.328,"Central African Republic",2,"Middle Africa"
"Lung",145,2,7,2,0,512,15,33,2.84,.714,"Oman",13,"Western Asia"
"NHL",145,0,8,2,0,748,34,13,2.62,.442,"Eswatini",4,"Southern Africa"
"Corpus uteri",145,0,9,2,0,678,24,2,2.9,.511,"Sao Tome and Principe",2,"Middle Africa"
"Thyroid",145,0,10,2,0,108,32,59,1.79,.311,"Burundi",1,"Eastern Africa"
"Leukaemia",145,0,11,2,0,204,36,109,2.27,.438,"Benin",5,"Western Africa"
"Ovary",145,0,12,2,0,566,25,2906,4.22,.45,"Nigeria",5,"Western Africa"
"Hodgkin lymphoma",145,0,13,2,0,450,33,45,.34,.464,"Madagascar",1,"Eastern Africa"
"Multiple myeloma",145,0,14,2,0,430,35,9,.56,.437,"Liberia",5,"Western Africa"
"Melanoma of skin",145,1,15,2,0,160,16,4387,.36,.606,"China",10,"Eastern Asia"
"Mesothelioma",145,0,16,2,0,324,18,0,0,.356,"Guinea",5,"Western Africa"
"Cervix uteri",145,3,17,2,0,702,23,353,7.42,.833,"Singapore",11,"South-Eastern Asia"
"Liver",145,1,18,2,0,480,11,28,2.49,.692,"Mauritius",1,"Eastern Africa"
"Nasopharynx",145,0,19,2,0,646,4,3,.06,.366,"Rwanda",1,"Eastern Africa"
"Kaposi sarcoma",145,3,20,2,0,352,19,0,0,.881,"Iceland",15,"Northern Europe"
"Oesophagus",145,2,21,2,0,688,6,51,.52,.726,"Serbia",16,"Southern Europe"
"Vagina",145,1,22,2,0,760,22,14,.17,.607,"Syrian Arab Republic",13,"Western Asia"
"Gallbladder",145,3,23,2,0,56,12,58,.35,.886,"Belgium",17,"Western Europe"
"Larynx",145,3,24,2,0,702,14,11,.17,.833,"Singapore",11,"South-Eastern Asia"
"Hypopharynx",145,3,25,2,0,196,5,0,0,.819,"Cyprus",16,"Southern Europe"
"Lip, oral cavity",145,0,26,2,0,108,1,30,.91,.311,"Burundi",1,"Eastern Africa"
"Oropharynx",145,0,27,2,0,430,3,1,.05,.437,"Liberia",5,"Western Africa"
"Vulva",145,1,28,2,0,762,21,9,.3,.573,"Tajikistan",12,"South Central Asia"
"Salivary glands",145,1,29,2,0,558,2,9,.22,.589,"Nicaragua",7,"Central America"
"Stomach",145,0,30,2,0,262,7,12,2.91,.375,"Djibouti",1,"Eastern Africa"
"Bladder",146,1,1,2,0,328,30,4,.89,.622,"Guyana",8,"South America"
"Brain, CNS",146,0,2,2,0,478,31,17,1.07,.467,"Mauritania",5,"Western Africa"
"Breast",146,1,3,2,0,320,20,2244,28.35,.563,"Guatemala",7,"Central America"
"Colorectum",146,0,4,2,0,180,8,1485,5.73,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Pancreas",146,2,5,2,0,512,13,15,1.3,.714,"Oman",13,"Western Asia"
"Kidney",146,0,6,2,0,624,29,7,.96,.403,"Guinea-Bissau",5,"Western Africa"
"Lung",146,0,7,2,0,232,15,34,2.75,.427,"Eritrea",1,"Eastern Africa"
"NHL",146,1,8,2,0,68,34,151,2.45,.637,"Bolivia",8,"South America"
"Corpus uteri",146,0,9,2,0,104,24,902,2.74,.432,"Myanmar",11,"South-Eastern Asia"
"Thyroid",146,0,10,2,0,768,32,49,1.78,.433,"Togo",5,"Western Africa"
"Leukaemia",146,1,11,2,0,762,36,103,2.26,.573,"Tajikistan",12,"South Central Asia"
"Ovary",146,1,12,2,0,364,25,2027,4.21,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Hodgkin lymphoma",146,1,13,2,0,764,33,138,.34,.669,"Thailand",11,"South-Eastern Asia"
"Multiple myeloma",146,0,14,2,0,686,35,29,.55,.41,"Senegal",5,"Western Africa"
"Melanoma of skin",146,1,15,2,0,320,16,29,.36,.563,"Guatemala",7,"Central America"
"Mesothelioma",146,1,16,2,0,328,18,0,0,.622,"Guyana",8,"South America"
"Cervix uteri",146,3,17,2,0,705,23,119,7.16,.85,"Slovenia",16,"Southern Europe"
"Liver",146,1,18,2,0,600,11,95,2.48,.662,"Paraguay",8,"South America"
"Nasopharynx",146,2,19,2,0,428,4,1,.05,.767,"Latvia",15,"Northern Europe"
"Kaposi sarcoma",146,0,20,2,0,356,19,25,0,.506,"India",12,"South Central Asia"
"Oesophagus",146,1,21,2,0,112,6,55,.51,.699,"Belarus",14,"Eastern Europe"
"Vagina",146,1,22,2,0,275,22,2,.16,.651,"Gaza Strip and West Bank",13,"Western Asia"
"Gallbladder",146,0,23,2,0,834,12,56,.35,.407,"Tanzania, United Republic of",1,"Eastern Africa"
"Larynx",146,0,24,2,0,887,14,18,.17,.461,"Yemen",13,"Western Asia"
"Hypopharynx",146,1,25,2,0,222,5,0,0,.627,"El Salvador",7,"Central America"
"Lip, oral cavity",146,2,26,2,0,484,1,761,.91,.718,"Mexico",7,"Central America"
"Oropharynx",146,0,27,2,0,508,3,7,.05,.327,"Mozambique",1,"Eastern Africa"
"Vulva",146,2,28,2,0,458,21,55,.29,.723,"Malaysia",11,"South-Eastern Asia"
"Salivary glands",146,2,29,2,0,152,2,39,.21,.769,"Chile",8,"South America"
"Stomach",146,0,30,2,0,800,7,311,2.9,.427,"Uganda",1,"Eastern Africa"
"Bladder",147,1,1,2,0,72,30,9,.88,.579,"Botswana",4,"Southern Africa"
"Brain, CNS",147,1,2,2,0,266,31,10,.99,.626,"Gabon",2,"Middle Africa"
"Breast",147,0,3,2,0,728,20,1073,27.99,.41,"South Sudan",1,"Eastern Africa"
"Colorectum",147,0,4,2,0,678,8,4,5.63,.511,"Sao Tome and Principe",2,"Middle Africa"
"Pancreas",147,0,5,2,0,834,13,191,1.26,.407,"Tanzania, United Republic of",1,"Eastern Africa"
"Kidney",147,0,6,2,0,768,29,32,.96,.433,"Togo",5,"Western Africa"
"Lung",147,1,7,2,0,266,15,20,2.67,.626,"Gabon",2,"Middle Africa"
"NHL",147,1,8,2,0,704,34,1520,2.44,.602,"Viet Nam",11,"South-Eastern Asia"
"Corpus uteri",147,1,9,2,0,340,24,110,2.72,.575,"Honduras",7,"Central America"
"Thyroid",147,1,10,2,0,860,32,308,1.76,.614,"Uzbekistan",12,"South Central Asia"
"Leukaemia",147,0,11,2,0,178,36,48,2.23,.471,"Congo, Republic of",2,"Middle Africa"
"Ovary",147,0,12,2,0,4,25,512,4.2,.384,"Afghanistan",12,"South Central Asia"
"Hodgkin lymphoma",147,1,13,2,0,740,33,1,.33,.682,"Suriname",8,"South America"
"Multiple myeloma",147,1,14,2,0,558,35,17,.51,.589,"Nicaragua",7,"Central America"
"Melanoma of skin",147,0,15,2,0,231,16,135,.35,.315,"Ethiopia",1,"Eastern Africa"
"Mesothelioma",147,0,16,2,0,332,18,0,0,.446,"Haiti",6,"Caribbean"
"Cervix uteri",147,3,17,2,0,276,23,4544,7.14,.89,"Germany",17,"Western Europe"
"Liver",147,2,18,2,0,32,11,966,2.45,.781,"Argentina",8,"South America"
"Nasopharynx",147,0,19,2,0,524,4,8,.05,.464,"Nepal",12,"South Central Asia"
"Kaposi sarcoma",147,3,20,2,0,372,19,0,0,.881,"Ireland",15,"Northern Europe"
"Oesophagus",147,1,21,2,0,328,6,2,.51,.622,"Guyana",8,"South America"
"Vagina",147,1,22,2,0,792,22,90,.16,.677,"Türkiye",13,"Western Asia"
"Gallbladder",147,1,23,2,0,496,12,5,.31,.608,"Mongolia",10,"Eastern Asia"
"Larynx",147,1,24,2,0,480,14,2,.16,.692,"Mauritius",1,"Eastern Africa"
"Hypopharynx",147,0,25,2,0,226,5,0,0,.546,"Equatorial Guinea",2,"Middle Africa"
"Lip, oral cavity",147,0,26,2,0,894,1,47,.91,.441,"Zambia",1,"Eastern Africa"
"Oropharynx",147,0,27,2,0,646,3,2,.05,.366,"Rwanda",1,"Eastern Africa"
"Vulva",147,1,28,2,0,704,21,188,.28,.602,"Viet Nam",11,"South-Eastern Asia"
"Salivary glands",147,1,29,2,0,268,2,12,.19,.699,"Georgia",13,"Western Asia"
"Stomach",147,1,30,2,0,764,7,1870,2.86,.669,"Thailand",11,"South-Eastern Asia"
"Bladder",148,1,1,2,0,795,30,25,.86,.666,"Turkmenistan",12,"South Central Asia"
"Brain, CNS",148,1,2,2,0,740,31,3,.93,.682,"Suriname",8,"South America"
"Breast",148,1,3,2,0,860,20,5022,27.79,.614,"Uzbekistan",12,"South Central Asia"
"Colorectum",148,0,4,2,0,478,8,87,5.61,.467,"Mauritania",5,"Western Africa"
"Pancreas",148,0,5,2,0,262,13,5,1.24,.375,"Djibouti",1,"Eastern Africa"
"Kidney",148,2,6,2,0,242,29,4,.94,.7,"Fiji",19,"Melanesia"
"Lung",148,0,7,2,0,800,15,269,2.61,.427,"Uganda",1,"Eastern Africa"
"NHL",148,1,8,2,0,132,34,6,2.4,.583,"Cape Verde",5,"Western Africa"
"Corpus uteri",148,0,9,2,0,478,24,39,2.71,.467,"Mauritania",5,"Western Africa"
"Thyroid",148,0,10,2,0,566,32,972,1.71,.45,"Nigeria",5,"Western Africa"
"Leukaemia",148,0,11,2,0,516,36,25,2.17,.541,"Namibia",4,"Southern Africa"
"Ovary",148,0,12,2,0,180,25,1113,4.13,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Hodgkin lymphoma",148,1,13,2,0,132,33,1,.32,.583,"Cape Verde",5,"Western Africa"
"Multiple myeloma",148,1,14,2,0,807,35,10,.51,.688,"North Macedonia",16,"Southern Europe"
