cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Multiple myeloma",4,3,14,2,0,124,35,1999,4.2,.877,"Canada",9,"Northern America"
"Melanoma of skin",4,3,15,2,0,752,16,2562,28.36,.908,"Sweden",15,"Northern Europe"
"Mesothelioma",4,3,16,2,0,36,18,184,.61,.907,"Australia",18,"Australia/New Zealand"
"Cervix uteri",4,0,17,2,0,716,23,3520,68.2,.423,"Zimbabwe",1,"Eastern Africa"
"Liver",4,1,18,2,0,320,11,1133,14.98,.563,"Guatemala",7,"Central America"
"Nasopharynx",4,1,19,2,0,360,4,4338,2.79,.615,"Indonesia",11,"South-Eastern Asia"
"Kaposi sarcoma",4,0,20,2,0,516,19,103,7.76,.541,"Namibia",4,"Southern Africa"
"Oesophagus",4,0,21,2,0,50,6,8654,11.16,.492,"Bangladesh",12,"South Central Asia"
"Vagina",4,1,22,2,0,214,22,57,.92,.668,"Dominican Republic",6,"Caribbean"
"Gallbladder",4,0,23,2,0,524,12,807,5.5,.464,"Nepal",12,"South Central Asia"
"Larynx",4,2,24,2,0,499,14,11,1.34,.773,"Montenegro",16,"Southern Europe"
"Hypopharynx",4,0,25,2,0,356,5,6477,.9,.506,"India",12,"South Central Asia"
"Lip, oral cavity",4,0,26,2,0,356,1,35947,5.03,.506,"India",12,"South Central Asia"
"Oropharynx",4,2,27,2,0,348,3,155,1.47,.788,"Hungary",14,"Eastern Europe"
"Vulva",4,0,28,2,0,426,21,27,2.76,.446,"Lesotho",4,"Southern Africa"
"Salivary glands",4,0,29,2,0,768,2,31,1.1,.433,"Togo",5,"Western Africa"
"Stomach",4,1,30,2,0,762,7,494,15.26,.573,"Tajikistan",12,"South Central Asia"
"Bladder",5,3,1,2,0,724,30,4407,7.77,.837,"Spain",16,"Southern Europe"
"Brain, CNS",5,2,2,2,0,100,31,370,5.76,.736,"Bulgaria",14,"Eastern Europe"
"Breast",5,3,3,2,0,36,20,21931,101.47,.907,"Australia",18,"Australia/New Zealand"
"Colorectum",5,3,4,2,0,36,8,8143,31.69,.907,"Australia",18,"Australia/New Zealand"
"Pancreas",5,3,5,2,0,756,13,1019,8.1,.899,"Switzerland",17,"Western Europe"
"Kidney",5,2,6,2,0,643,29,12227,8.2,.734,"Russian Federation",14,"Eastern Europe"
"Lung",5,3,7,2,0,840,15,113690,30.4,.891,"United States of America",9,"Northern America"
"NHL",5,3,8,2,0,840,34,34486,10.46,.891,"United States of America",9,"Northern America"
"Corpus uteri",5,3,9,2,0,840,24,66055,22.47,.891,"United States of America",9,"Northern America"
"Thyroid",5,2,10,2,0,348,32,1455,25.76,.788,"Hungary",14,"Eastern Europe"
"Leukaemia",5,3,11,2,0,578,36,385,7.99,.917,"Norway",15,"Northern Europe"
"Ovary",5,3,12,2,0,616,25,4678,12.22,.804,"Poland",14,"Eastern Europe"
"Hodgkin lymphoma",5,2,13,2,0,620,33,148,2.81,.799,"Portugal",16,"Southern Europe"
"Multiple myeloma",5,3,14,2,0,44,35,11,3.93,.8,"Bahamas",6,"Caribbean"
"Melanoma of skin",5,3,15,2,0,528,16,4143,27.86,.885,"The Netherlands",17,"Western Europe"
"Mesothelioma",5,3,16,2,0,826,18,525,.55,.881,"United Kingdom",15,"Northern Europe"
"Cervix uteri",5,0,17,2,0,834,23,10868,64.75,.407,"Tanzania, United Republic of",1,"Eastern Africa"
"Liver",5,0,18,2,0,324,11,646,14.9,.356,"Guinea",5,"Western Africa"
"Nasopharynx",5,0,19,2,0,626,4,14,2.73,.503,"Timor-Leste",11,"South-Eastern Asia"
"Kaposi sarcoma",5,1,20,2,0,72,19,98,7.31,.579,"Botswana",4,"Southern Africa"
"Oesophagus",5,0,21,2,0,716,6,467,10.53,.423,"Zimbabwe",1,"Eastern Africa"
"Vagina",5,1,22,2,0,662,22,1,.87,.693,"Saint Lucia",6,"Caribbean"
"Gallbladder",5,1,23,2,0,604,12,823,3.83,.688,"Peru",8,"South America"
"Larynx",5,2,24,2,0,242,14,6,1.26,.7,"Fiji",19,"Melanesia"
"Hypopharynx",5,1,25,2,0,417,5,21,.64,.63,"Kyrgyzstan",12,"South Central Asia"
"Lip, oral cavity",5,0,26,2,0,516,1,42,4.34,.541,"Namibia",4,"Southern Africa"
"Oropharynx",5,0,27,2,0,64,3,4,1.42,.52,"Bhutan",12,"South Central Asia"
"Vulva",5,1,28,2,0,72,21,34,2.61,.579,"Botswana",4,"Southern Africa"
"Salivary glands",5,0,29,2,0,120,2,85,1.09,.458,"Cameroon",2,"Middle Africa"
"Stomach",5,1,30,2,0,364,7,6387,14.33,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Bladder",6,3,1,2,0,380,30,7369,7.66,.85,"Italy",16,"Southern Europe"
"Brain, CNS",6,1,2,2,0,268,31,184,5.76,.699,"Georgia",13,"Western Asia"
"Breast",6,3,3,2,0,442,20,565,99.7,.869,"Luxembourg",17,"Western Europe"
"Colorectum",6,2,4,2,0,348,8,3996,30.36,.788,"Hungary",14,"Eastern Europe"
"Pancreas",6,3,5,2,0,752,13,1273,8.09,.908,"Sweden",15,"Northern Europe"
"Kidney",6,3,6,2,0,203,29,1075,8.17,.821,"Czechia",14,"Eastern Europe"
"Lung",6,3,7,2,0,124,15,15257,30.35,.877,"Canada",9,"Northern America"
"NHL",6,3,8,2,0,124,34,4273,10.38,.877,"Canada",9,"Northern America"
"Corpus uteri",6,2,9,2,0,440,24,684,21.84,.785,"Lithuania",15,"Northern Europe"
"Thyroid",6,1,10,2,0,792,32,12425,24.57,.677,"Türkiye",13,"Western Asia"
"Leukaemia",6,3,11,2,0,208,36,462,7.91,.89,"Denmark",15,"Northern Europe"
"Ovary",6,1,12,2,0,608,25,6453,11.73,.638,"Philippines",11,"South-Eastern Asia"
"Hodgkin lymphoma",6,3,13,2,0,372,33,76,2.79,.881,"Ireland",15,"Northern Europe"
"Multiple myeloma",6,3,14,2,0,840,35,14003,3.93,.891,"United States of America",9,"Northern America"
"Melanoma of skin",6,3,15,2,0,56,16,2356,25.3,.886,"Belgium",17,"Western Europe"
"Mesothelioma",6,2,16,2,0,643,18,909,.51,.734,"Russian Federation",14,"Eastern Europe"
"Cervix uteri",6,0,17,2,0,426,23,598,60.49,.446,"Lesotho",4,"Southern Africa"
"Liver",6,0,18,2,0,854,11,821,14.39,.303,"Burkina Faso",5,"Western Africa"
"Nasopharynx",6,3,19,2,0,702,4,123,2.66,.833,"Singapore",11,"South-Eastern Asia"
"Kaposi sarcoma",6,0,20,2,0,800,19,1358,7.14,.427,"Uganda",1,"Eastern Africa"
"Oesophagus",6,0,21,2,0,508,6,954,9.82,.327,"Mozambique",1,"Eastern Africa"
"Vagina",6,0,22,2,0,716,22,46,.85,.423,"Zimbabwe",1,"Eastern Africa"
"Gallbladder",6,1,23,2,0,12,12,846,3.74,.657,"Algeria",3,"Northern Africa"
