cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Multiple myeloma",6,3,1,1,1,7,0,0,208,35,661,4.7,.89,"Denmark",15,"Northern Europe"
"Pancreas",6,3,1,1,1,8,0,0,203,13,2479,9.34,.821,"Czechia",14,"Eastern Europe"
"NHL",6,3,1,1,1,9,0,0,124,34,9481,12.11,.877,"Canada",9,"Northern America"
"Corpus uteri",6,2,1,1,1,10,0,0,440,24,684,21.84,.785,"Lithuania",15,"Northern Europe"
"Thyroid",6,2,1,1,1,11,0,0,620,32,2260,15.57,.799,"Portugal",16,"Southern Europe"
"Lung",6,1,1,1,1,12,0,0,408,15,14773,38.42,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Brain, CNS",6,1,1,1,1,13,0,0,268,31,403,6.97,.699,"Georgia",13,"Western Asia"
"Hodgkin lymphoma",6,3,1,1,1,14,0,0,56,33,381,3.01,.886,"Belgium",17,"Western Europe"
"Testis",6,3,1,1,1,15,0,0,442,28,39,10.51,.869,"Luxembourg",17,"Western Europe"
"Melanoma of skin",6,3,1,1,1,16,0,0,528,16,8221,25.9,.885,"The Netherlands",17,"Western Europe"
"Prostate",6,2,1,1,1,17,0,0,52,27,263,100.45,.774,"Barbados",6,"Caribbean"
"Oropharynx",6,1,1,1,1,18,0,0,498,3,206,3.36,.663,"Moldova",14,"Eastern Europe"
"Cervix uteri",6,0,1,2,2,19,0,0,426,23,598,60.49,.446,"Lesotho",4,"Southern Africa"
"Nasopharynx",6,0,1,2,2,20,0,0,626,4,48,4.96,.503,"Timor-Leste",11,"South-Eastern Asia"
"Liver",6,0,1,2,2,21,0,0,324,11,1575,21.29,.356,"Guinea",5,"Western Africa"
"Kaposi sarcoma",6,0,1,2,2,22,0,0,716,19,1101,9.48,.423,"Zimbabwe",1,"Eastern Africa"
"Vagina",6,0,1,2,2,23,0,0,716,22,46,.85,.423,"Zimbabwe",1,"Eastern Africa"
"Penis",6,0,1,2,2,24,0,0,426,26,22,3.07,.446,"Lesotho",4,"Southern Africa"
"Gallbladder",6,3,1,2,3,25,0,0,410,12,3264,2.62,.837,"Korea, Republic of",10,"Eastern Asia"
"Stomach",6,1,1,2,3,26,0,0,31,7,2016,16.56,.651,"Azerbaijan",13,"Western Asia"
"Oesophagus",6,0,1,2,3,27,0,0,716,6,890,12.03,.423,"Zimbabwe",1,"Eastern Africa"
"Salivary glands",6,0,1,2,3,28,0,0,516,2,19,1.01,.541,"Namibia",4,"Southern Africa"
"Hypopharynx",6,0,1,2,3,29,0,0,104,5,1368,2.34,.432,"Myanmar",11,"South-Eastern Asia"
"Larynx",6,1,1,2,3,30,0,0,112,14,705,4.29,.699,"Belarus",14,"Eastern Europe"
"Lip, oral cavity",6,0,1,2,3,31,0,0,516,1,107,6.54,.541,"Namibia",4,"Southern Africa"
"Ovary",6,1,1,2,3,32,0,0,608,25,6453,11.73,.638,"Philippines",11,"South-Eastern Asia"
"Vulva",6,3,1,2,3,33,0,0,528,21,537,2.57,.885,"The Netherlands",17,"Western Europe"
"Bladder",7,1,1,1,1,1,0,0,818,30,13097,15.23,.622,"Egypt",3,"Northern Africa"
"Mesothelioma",7,3,1,1,1,2,0,0,756,18,246,1.09,.899,"Switzerland",17,"Western Europe"
"Breast",7,3,1,1,1,3,0,0,840,20,274375,95.91,.891,"United States of America",9,"Northern America"
"Colorectum",7,2,1,1,1,4,0,0,620,8,10575,37.75,.799,"Portugal",16,"Southern Europe"
"Kidney",7,2,1,1,1,5,0,0,440,29,642,11.57,.785,"Lithuania",15,"Northern Europe"
"Leukaemia",7,3,1,1,1,6,0,0,250,36,13525,10.05,.852,"France (metropolitan)",17,"Western Europe"
"Multiple myeloma",7,3,1,1,1,7,0,0,44,35,23,4.6,.8,"Bahamas",6,"Caribbean"
"Pancreas",7,3,1,1,1,8,0,0,752,13,2413,9.28,.908,"Sweden",15,"Northern Europe"
"NHL",7,3,1,1,1,9,0,0,528,34,4381,11.98,.885,"The Netherlands",17,"Western Europe"
"Corpus uteri",7,2,1,1,1,10,0,0,703,24,1185,21.54,.773,"Slovakia",14,"Eastern Europe"
"Thyroid",7,1,1,1,1,11,0,0,792,32,15376,15.55,.677,"Türkiye",13,"Western Asia"
"Lung",7,1,1,1,1,12,0,0,792,15,41032,37.88,.677,"Türkiye",13,"Western Asia"
"Brain, CNS",7,3,1,1,1,13,0,0,196,31,135,6.89,.819,"Cyprus",16,"Southern Europe"
"Hodgkin lymphoma",7,2,1,1,1,14,0,0,422,33,216,2.95,.74,"Lebanon",13,"Western Asia"
"Testis",7,3,1,1,1,15,0,0,756,28,480,10.32,.899,"Switzerland",17,"Western Europe"
"Melanoma of skin",7,3,1,1,1,16,0,0,56,16,4163,21.1,.886,"Belgium",17,"Western Europe"
"Prostate",7,3,1,1,1,17,0,0,372,27,4216,99.79,.881,"Ireland",15,"Northern Europe"
"Oropharynx",7,3,1,1,1,18,0,0,250,3,3883,3.31,.852,"France (metropolitan)",17,"Western Europe"
"Cervix uteri",7,0,1,2,2,19,0,0,324,23,2551,55.01,.356,"Guinea",5,"Western Africa"
"Nasopharynx",7,1,1,2,2,20,0,0,704,4,5613,4.66,.602,"Viet Nam",11,"South-Eastern Asia"
"Liver",7,1,1,2,2,21,0,0,704,11,24502,20.2,.602,"Viet Nam",11,"South-Eastern Asia"
"Kaposi sarcoma",7,1,1,2,2,22,0,0,72,19,232,9.27,.579,"Botswana",4,"Southern Africa"
"Vagina",7,3,1,2,2,23,0,0,44,22,2,.81,.8,"Bahamas",6,"Caribbean"
"Penis",7,0,1,2,2,24,0,0,894,26,133,3,.441,"Zambia",1,"Eastern Africa"
"Gallbladder",7,1,1,2,3,25,0,0,604,12,1100,2.62,.688,"Peru",8,"South America"
