country_code,country_label,risk,cause_num,cause,year,pop2015,hdi,rank
762,"Tajikistan",26.01375,0,"Major NCDs",2011,8548651,1,2
762,"Tajikistan",25.84015,0,"Major NCDs",2012,8548651,1,2
762,"Tajikistan",25.66248,0,"Major NCDs",2013,8548651,1,2
762,"Tajikistan",25.50992,0,"Major NCDs",2014,8548651,1,2
762,"Tajikistan",29.79861,0,"Major NCDs",2015,,1,2
762,"Tajikistan",29.70731,0,"Major NCDs",2016,,1,2
795,"Turkmenistan",34.00199,0,"Major NCDs",2000,5565284,1,4
795,"Turkmenistan",32.59778,0,"Major NCDs",2001,5565284,1,4
795,"Turkmenistan",34.89547,0,"Major NCDs",2002,5565284,1,4
795,"Turkmenistan",34.64989,0,"Major NCDs",2003,5565284,1,4
795,"Turkmenistan",35.16243,0,"Major NCDs",2004,5565284,1,4
795,"Turkmenistan",35.58495,0,"Major NCDs",2005,5565284,1,4
795,"Turkmenistan",34.28205,0,"Major NCDs",2006,5565284,1,4
795,"Turkmenistan",34.66763,0,"Major NCDs",2007,5565284,1,4
795,"Turkmenistan",34.36832,0,"Major NCDs",2008,5565284,1,4
795,"Turkmenistan",31.67816,0,"Major NCDs",2009,5565284,1,4
795,"Turkmenistan",30.9778,0,"Major NCDs",2010,5565284,1,4
795,"Turkmenistan",29.87103,0,"Major NCDs",2011,5565284,1,4
795,"Turkmenistan",29.71296,0,"Major NCDs",2012,5565284,1,4
795,"Turkmenistan",29.96099,0,"Major NCDs",2013,5565284,1,4
795,"Turkmenistan",30.51041,0,"Major NCDs",2014,5565284,1,4
795,"Turkmenistan",41.13254,0,"Major NCDs",2015,,1,4
795,"Turkmenistan",39.67886,0,"Major NCDs",2016,,1,4
804,"Ukraine",34.23849,0,"Major NCDs",2000,44657704,1,9
804,"Ukraine",33.25596,0,"Major NCDs",2001,44657704,1,9
804,"Ukraine",33.65399,0,"Major NCDs",2002,44657704,1,9
804,"Ukraine",33.83787,0,"Major NCDs",2003,44657704,1,9
804,"Ukraine",34.67051,0,"Major NCDs",2004,44657704,1,9
804,"Ukraine",35.52271,0,"Major NCDs",2005,44657704,1,9
804,"Ukraine",33.99932,0,"Major NCDs",2006,44657704,1,9
804,"Ukraine",34.09078,0,"Major NCDs",2007,44657704,1,9
804,"Ukraine",33.53392,0,"Major NCDs",2008,44657704,1,9
804,"Ukraine",30.73778,0,"Major NCDs",2009,44657704,1,9
804,"Ukraine",29.2644,0,"Major NCDs",2010,44657704,1,9
804,"Ukraine",27.62769,0,"Major NCDs",2011,44657704,1,9
804,"Ukraine",27.48351,0,"Major NCDs",2012,44657704,1,9
804,"Ukraine",27.21383,0,"Major NCDs",2013,44657704,1,9
804,"Ukraine",26.75251,0,"Major NCDs",2014,44657704,1,9
804,"Ukraine",34.40355,0,"Major NCDs",2015,,1,9
804,"Ukraine",32.8766,0,"Major NCDs",2016,,1,9
826,"UK",16.4198,0,"Major NCDs",2000,65397080,2,17
826,"UK",15.99629,0,"Major NCDs",2001,65397080,2,17
826,"UK",15.71005,0,"Major NCDs",2002,65397080,2,17
826,"UK",15.33482,0,"Major NCDs",2003,65397080,2,17
826,"UK",14.67081,0,"Major NCDs",2004,65397080,2,17
826,"UK",14.19522,0,"Major NCDs",2005,65397080,2,17
826,"UK",13.7223,0,"Major NCDs",2006,65397080,2,17
826,"UK",13.40759,0,"Major NCDs",2007,65397080,2,17
826,"UK",13.03394,0,"Major NCDs",2008,65397080,2,17
826,"UK",12.4607,0,"Major NCDs",2009,65397080,2,17
826,"UK",12.18262,0,"Major NCDs",2010,65397080,2,17
826,"UK",11.75503,0,"Major NCDs",2011,65397080,2,17
826,"UK",11.6181,0,"Major NCDs",2012,65397080,2,17
826,"UK",11.45756,0,"Major NCDs",2013,65397080,2,17
826,"UK",11.19467,0,"Major NCDs",2014,65397080,2,17
826,"UK",14.92862,0,"Major NCDs",2015,,2,17
826,"UK",14.49903,0,"Major NCDs",2016,,2,17
860,"Uzbekistan",29.25221,0,"Major NCDs",2000,30976021,1,1
860,"Uzbekistan",28.492,0,"Major NCDs",2001,30976021,1,1
860,"Uzbekistan",29.24857,0,"Major NCDs",2002,30976021,1,1
860,"Uzbekistan",29.00475,0,"Major NCDs",2003,30976021,1,1
860,"Uzbekistan",28.27132,0,"Major NCDs",2004,30976021,1,1
860,"Uzbekistan",29.84288,0,"Major NCDs",2005,30976021,1,1
860,"Uzbekistan",29.28115,0,"Major NCDs",2006,30976021,1,1
860,"Uzbekistan",28.37437,0,"Major NCDs",2007,30976021,1,1
860,"Uzbekistan",27.44538,0,"Major NCDs",2008,30976021,1,1
860,"Uzbekistan",26.66678,0,"Major NCDs",2009,30976021,1,1
860,"Uzbekistan",26.46104,0,"Major NCDs",2010,30976021,1,1
860,"Uzbekistan",26.20163,0,"Major NCDs",2011,30976021,1,1
860,"Uzbekistan",25.92449,0,"Major NCDs",2012,30976021,1,1
860,"Uzbekistan",25.62945,0,"Major NCDs",2013,30976021,1,1
860,"Uzbekistan",25.87825,0,"Major NCDs",2014,30976021,1,1
860,"Uzbekistan",31.69496,0,"Major NCDs",2015,,1,1
860,"Uzbekistan",31.25685,0,"Major NCDs",2016,,1,1
31,"Azerbaijan",8.620054,1,"Malignant neoplasms",2000,9617484,1,5
31,"Azerbaijan",8.536712,1,"Malignant neoplasms",2001,9617484,1,5
31,"Azerbaijan",8.56104,1,"Malignant neoplasms",2002,9617484,1,5
31,"Azerbaijan",8.691053,1,"Malignant neoplasms",2003,9617484,1,5
31,"Azerbaijan",8.610653,1,"Malignant neoplasms",2004,9617484,1,5
31,"Azerbaijan",8.574302,1,"Malignant neoplasms",2005,9617484,1,5
31,"Azerbaijan",8.591602,1,"Malignant neoplasms",2006,9617484,1,5
31,"Azerbaijan",8.636118,1,"Malignant neoplasms",2007,9617484,1,5
31,"Azerbaijan",8.780117,1,"Malignant neoplasms",2008,9617484,1,5
31,"Azerbaijan",8.686073,1,"Malignant neoplasms",2009,9617484,1,5
31,"Azerbaijan",8.57085,1,"Malignant neoplasms",2010,9617484,1,5
31,"Azerbaijan",8.310467,1,"Malignant neoplasms",2011,9617484,1,5
31,"Azerbaijan",8.162652,1,"Malignant neoplasms",2012,9617484,1,5
31,"Azerbaijan",7.811084,1,"Malignant neoplasms",2013,9617484,1,5
31,"Azerbaijan",7.64649,1,"Malignant neoplasms",2014,9617484,1,5
31,"Azerbaijan",7.933061,1,"Malignant neoplasms",2015,,1,5
31,"Azerbaijan",8.007944,1,"Malignant neoplasms",2016,,1,5
40,"Austria",8.08238,1,"Malignant neoplasms",2000,8678657,2,18
40,"Austria",7.841266,1,"Malignant neoplasms",2001,8678657,2,18
40,"Austria",7.613777,1,"Malignant neoplasms",2002,8678657,2,18
40,"Austria",7.596019,1,"Malignant neoplasms",2003,8678657,2,18
40,"Austria",7.699049,1,"Malignant neoplasms",2004,8678657,2,18
40,"Austria",7.518458,1,"Malignant neoplasms",2005,8678657,2,18
40,"Austria",7.496066,1,"Malignant neoplasms",2006,8678657,2,18
40,"Austria",7.49015,1,"Malignant neoplasms",2007,8678657,2,18
40,"Austria",7.6018,1,"Malignant neoplasms",2008,8678657,2,18
