year,risk,cause,country_code,country_label,area_code,area_label,select,hdi,cause_num,rank
2017,8.798993,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2017,15.29145,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2018,26.96523,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2018,8.686116,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2018,15.14836,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2019,26.71944,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2019,8.459603,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2019,15.1559,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2000,18.09945,"allncd",152,"Chile",8,"South America",1,2,0,13
2000,7.397169,"cancer",152,"Chile",8,"South America",1,2,1,13
2000,5.803003,"cvd",152,"Chile",8,"South America",1,2,2,13
2001,18.88098,"allncd",152,"Chile",8,"South America",1,2,0,13
2001,7.485404,"cancer",152,"Chile",8,"South America",1,2,1,13
2001,5.860369,"cvd",152,"Chile",8,"South America",1,2,2,13
2002,18.3072,"allncd",152,"Chile",8,"South America",1,2,0,13
2002,7.401921,"cancer",152,"Chile",8,"South America",1,2,1,13
2002,5.579555,"cvd",152,"Chile",8,"South America",1,2,2,13
2003,18.38004,"allncd",152,"Chile",8,"South America",1,2,0,13
2003,7.34521,"cancer",152,"Chile",8,"South America",1,2,1,13
2003,5.736702,"cvd",152,"Chile",8,"South America",1,2,2,13
2004,17.89936,"allncd",152,"Chile",8,"South America",1,2,0,13
2004,7.08247,"cancer",152,"Chile",8,"South America",1,2,1,13
2004,5.445934,"cvd",152,"Chile",8,"South America",1,2,2,13
2005,17.42551,"allncd",152,"Chile",8,"South America",1,2,0,13
2005,7.032568,"cancer",152,"Chile",8,"South America",1,2,1,13
2005,5.349,"cvd",152,"Chile",8,"South America",1,2,2,13
2006,17.04323,"allncd",152,"Chile",8,"South America",1,2,0,13
2006,6.971053,"cancer",152,"Chile",8,"South America",1,2,1,13
2006,5.114199,"cvd",152,"Chile",8,"South America",1,2,2,13
2007,17.26216,"allncd",152,"Chile",8,"South America",1,2,0,13
2007,6.754951,"cancer",152,"Chile",8,"South America",1,2,1,13
2007,5.31242,"cvd",152,"Chile",8,"South America",1,2,2,13
2008,16.49305,"allncd",152,"Chile",8,"South America",1,2,0,13
2008,6.662463,"cancer",152,"Chile",8,"South America",1,2,1,13
2008,4.966815,"cvd",152,"Chile",8,"South America",1,2,2,13
2009,16.75833,"allncd",152,"Chile",8,"South America",1,2,0,13
2009,6.868275,"cancer",152,"Chile",8,"South America",1,2,1,13
2009,4.943339,"cvd",152,"Chile",8,"South America",1,2,2,13
2010,16.70246,"allncd",152,"Chile",8,"South America",1,2,0,13
2010,6.622633,"cancer",152,"Chile",8,"South America",1,2,1,13
2010,4.927414,"cvd",152,"Chile",8,"South America",1,2,2,13
2011,16.17676,"allncd",152,"Chile",8,"South America",1,2,0,13
2011,6.639843,"cancer",152,"Chile",8,"South America",1,2,1,13
2011,4.718424,"cvd",152,"Chile",8,"South America",1,2,2,13
2012,15.94248,"allncd",152,"Chile",8,"South America",1,2,0,13
2012,6.494026,"cancer",152,"Chile",8,"South America",1,2,1,13
2012,4.641207,"cvd",152,"Chile",8,"South America",1,2,2,13
2013,15.71819,"allncd",152,"Chile",8,"South America",1,2,0,13
2013,6.398144,"cancer",152,"Chile",8,"South America",1,2,1,13
2013,4.673051,"cvd",152,"Chile",8,"South America",1,2,2,13
2014,15.24416,"allncd",152,"Chile",8,"South America",1,2,0,13
2014,6.180544,"cancer",152,"Chile",8,"South America",1,2,1,13
2014,4.597941,"cvd",152,"Chile",8,"South America",1,2,2,13
2015,14.98446,"allncd",152,"Chile",8,"South America",1,2,0,13
2015,6.115509,"cancer",152,"Chile",8,"South America",1,2,1,13
2015,4.337726,"cvd",152,"Chile",8,"South America",1,2,2,13
2016,14.3591,"allncd",152,"Chile",8,"South America",1,2,0,13
2016,5.981304,"cancer",152,"Chile",8,"South America",1,2,1,13
2016,4.002609,"cvd",152,"Chile",8,"South America",1,2,2,13
2017,13.70894,"allncd",152,"Chile",8,"South America",1,2,0,13
2017,5.70902,"cancer",152,"Chile",8,"South America",1,2,1,13
2017,3.766048,"cvd",152,"Chile",8,"South America",1,2,2,13
2018,13.35666,"allncd",152,"Chile",8,"South America",1,2,0,13
2018,5.691898,"cancer",152,"Chile",8,"South America",1,2,1,13
2018,3.648501,"cvd",152,"Chile",8,"South America",1,2,2,13
2019,13.05289,"allncd",152,"Chile",8,"South America",1,2,0,13
2019,5.475821,"cancer",152,"Chile",8,"South America",1,2,1,13
2019,3.451078,"cvd",152,"Chile",8,"South America",1,2,2,13
2000,17.08077,"allncd",170,"Colombia",8,"South America",1,2,0,8
2000,6.018269,"cancer",170,"Colombia",8,"South America",1,2,1,8
2000,7.228027,"cvd",170,"Colombia",8,"South America",1,2,2,8
2001,16.51767,"allncd",170,"Colombia",8,"South America",1,2,0,8
2001,5.840115,"cancer",170,"Colombia",8,"South America",1,2,1,8
2001,6.794283,"cvd",170,"Colombia",8,"South America",1,2,2,8
2002,16.07429,"allncd",170,"Colombia",8,"South America",1,2,0,8
2002,5.863232,"cancer",170,"Colombia",8,"South America",1,2,1,8
2002,6.403887,"cvd",170,"Colombia",8,"South America",1,2,2,8
2003,16.12988,"allncd",170,"Colombia",8,"South America",1,2,0,8
2003,5.824985,"cancer",170,"Colombia",8,"South America",1,2,1,8
2003,6.345745,"cvd",170,"Colombia",8,"South America",1,2,2,8
2004,15.78072,"allncd",170,"Colombia",8,"South America",1,2,0,8
2004,5.719198,"cancer",170,"Colombia",8,"South America",1,2,1,8
2004,6.288344,"cvd",170,"Colombia",8,"South America",1,2,2,8
2005,15.46692,"allncd",170,"Colombia",8,"South America",1,2,0,8
2005,5.542564,"cancer",170,"Colombia",8,"South America",1,2,1,8
2005,6.174738,"cvd",170,"Colombia",8,"South America",1,2,2,8
2006,15.29593,"allncd",170,"Colombia",8,"South America",1,2,0,8
2006,5.457634,"cancer",170,"Colombia",8,"South America",1,2,1,8
2006,6.073658,"cvd",170,"Colombia",8,"South America",1,2,2,8
2007,14.6264,"allncd",170,"Colombia",8,"South America",1,2,0,8
2007,5.362423,"cancer",170,"Colombia",8,"South America",1,2,1,8
2007,5.699642,"cvd",170,"Colombia",8,"South America",1,2,2,8
2008,14.17962,"allncd",170,"Colombia",8,"South America",1,2,0,8
2008,5.173531,"cancer",170,"Colombia",8,"South America",1,2,1,8
2008,5.446,"cvd",170,"Colombia",8,"South America",1,2,2,8
2009,13.33652,"allncd",170,"Colombia",8,"South America",1,2,0,8
2009,5.154682,"cancer",170,"Colombia",8,"South America",1,2,1,8
2009,4.888687,"cvd",170,"Colombia",8,"South America",1,2,2,8
2010,13.25787,"allncd",170,"Colombia",8,"South America",1,2,0,8
2010,5.042344,"cancer",170,"Colombia",8,"South America",1,2,1,8
2010,4.813236,"cvd",170,"Colombia",8,"South America",1,2,2,8
2011,12.48871,"allncd",170,"Colombia",8,"South America",1,2,0,8
2011,4.831538,"cancer",170,"Colombia",8,"South America",1,2,1,8
2011,4.544512,"cvd",170,"Colombia",8,"South America",1,2,2,8
2012,12.29508,"allncd",170,"Colombia",8,"South America",1,2,0,8
2012,4.824351,"cancer",170,"Colombia",8,"South America",1,2,1,8
2012,4.354393,"cvd",170,"Colombia",8,"South America",1,2,2,8
2013,12.15676,"allncd",170,"Colombia",8,"South America",1,2,0,8
2013,4.833104,"cancer",170,"Colombia",8,"South America",1,2,1,8
2013,4.291578,"cvd",170,"Colombia",8,"South America",1,2,2,8
2014,12.14689,"allncd",170,"Colombia",8,"South America",1,2,0,8
2014,4.848674,"cancer",170,"Colombia",8,"South America",1,2,1,8
2014,4.236217,"cvd",170,"Colombia",8,"South America",1,2,2,8
2015,12.37253,"allncd",170,"Colombia",8,"South America",1,2,0,8
2015,4.857319,"cancer",170,"Colombia",8,"South America",1,2,1,8
2015,4.391717,"cvd",170,"Colombia",8,"South America",1,2,2,8
2016,12.3337,"allncd",170,"Colombia",8,"South America",1,2,0,8
2016,4.895083,"cancer",170,"Colombia",8,"South America",1,2,1,8
2016,4.358783,"cvd",170,"Colombia",8,"South America",1,2,2,8
2017,12.13527,"allncd",170,"Colombia",8,"South America",1,2,0,8
2017,4.916769,"cancer",170,"Colombia",8,"South America",1,2,1,8
2017,4.255619,"cvd",170,"Colombia",8,"South America",1,2,2,8
2018,11.77184,"allncd",170,"Colombia",8,"South America",1,2,0,8
2018,4.741313,"cancer",170,"Colombia",8,"South America",1,2,1,8
2018,4.113389,"cvd",170,"Colombia",8,"South America",1,2,2,8
2019,11.6587,"allncd",170,"Colombia",8,"South America",1,2,0,8
2019,4.706504,"cancer",170,"Colombia",8,"South America",1,2,1,8
2019,4.067163,"cvd",170,"Colombia",8,"South America",1,2,2,8
2000,15.71875,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2000,5.122327,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2000,6.123208,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2001,15.52403,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2001,5.316739,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2001,5.932718,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2002,14.68298,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2002,5.057557,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2002,5.372758,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2003,14.75827,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2003,5.069163,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2003,4.997735,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2004,14.86609,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2004,5.315003,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2004,5.07857,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2005,13.70142,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2005,4.858163,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2005,4.830208,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2006,14.35332,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2006,5.187524,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2006,4.805957,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2007,12.76262,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2007,4.614287,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2007,4.305125,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2008,12.85367,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2008,4.546244,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2008,4.233926,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2009,12.62426,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2009,4.481574,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2009,4.25359,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2010,14.00635,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2010,5.16075,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2010,4.793634,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2011,13.24262,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2011,4.742157,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2011,4.54366,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2012,12.99995,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2012,4.777455,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2012,4.584027,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2013,12.92012,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2013,4.884956,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2013,4.24063,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2014,12.88756,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2014,4.607355,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2014,4.231125,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2015,12.6921,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2015,4.859041,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2015,3.91042,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2016,13.12047,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2016,4.903386,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2016,3.822755,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2017,13.33892,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2017,4.996475,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2017,3.842774,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2018,12.80841,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2018,4.740423,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2018,3.510071,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2019,12.77674,"allncd",188,"Costa Rica",7,"Central America",1,2,0,7
2019,4.667758,"cancer",188,"Costa Rica",7,"Central America",1,2,1,7
2019,3.377262,"cvd",188,"Costa Rica",7,"Central America",1,2,2,7
2000,16.99426,"allncd",250,"France",17,"Western Europe",1,2,0,21
2000,9.585818,"cancer",250,"France",17,"Western Europe",1,2,1,21
2000,3.979481,"cvd",250,"France",17,"Western Europe",1,2,2,21
2001,16.76883,"allncd",250,"France",17,"Western Europe",1,2,0,21
2001,9.479999,"cancer",250,"France",17,"Western Europe",1,2,1,21
2001,3.861128,"cvd",250,"France",17,"Western Europe",1,2,2,21
2002,16.53271,"allncd",250,"France",17,"Western Europe",1,2,0,21
2002,9.418149,"cancer",250,"France",17,"Western Europe",1,2,1,21
2002,3.727675,"cvd",250,"France",17,"Western Europe",1,2,2,21
2003,16.39821,"allncd",250,"France",17,"Western Europe",1,2,0,21
